grade,emp_length,home_ownership,income,state,debt to income,earliest credit
C,< 1 year,MORTGAGE,40000,IN,21,2002
C,2 years,MORTGAGE,150000,FL,18,1998
C,3 years,MORTGAGE,60000,TX,24,2004
C,10+ years,OWN,60000,KY,20,2003
C,10+ years,RENT,40000,IN,30,1994
C,10+ years,MORTGAGE,150000,NC,11,2004
C,< 1 year,RENT,20000,CA,16,2013
C,4 years,MORTGAGE,80000,CA,28,1999
C,< 1 year,MORTGAGE,60000,IL,17,1999
C,10+ years,MORTGAGE,60000,WI,15,2001
C,n/a,MORTGAGE,150000,CO,3,1997
C,3 years,RENT,60000,NC,16,2005
C,2 years,RENT,30000,FL,24,2005
C,5 years,RENT,40000,OK,24,2007
C,10+ years,MORTGAGE,80000,CA,16,2001
A,< 1 year,OWN,40000,NC,17,1997
A,10+ years,MORTGAGE,60000,PA,10,1980
A,10+ years,MORTGAGE,150000,OH,12,1985
A,8 years,MORTGAGE,30000,OH,24,2002
A,10+ years,MORTGAGE,125000,TN,17,1995
A,10+ years,MORTGAGE,80000,AL,16,2005
C,1 year,RENT,40000,TX,9,2006
C,5 years,MORTGAGE,100000,WA,17,2000
A,4 years,MORTGAGE,150000,GA,13,2002
A,10+ years,OWN,30000,TX,30,2003
C,10+ years,RENT,100000,CA,32,1985
A,< 1 year,MORTGAGE,40000,PA,28,2006
C,2 years,MORTGAGE,40000,TX,19,2008
C,n/a,OWN,40000,WA,12,1996
C,1 year,RENT,30000,CA,10,2006
A,10+ years,MORTGAGE,40000,TX,14,1991
C,10+ years,RENT,80000,CA,15,2008
C,6 years,MORTGAGE,60000,VA,16,1992
C,7 years,RENT,60000,NY,7,2004
C,10+ years,MORTGAGE,60000,PA,26,1993
C,5 years,MORTGAGE,80000,NV,23,2000
C,4 years,RENT,80000,NY,19,2010
A,10+ years,MORTGAGE,100000,GA,21,2003
A,2 years,RENT,40000,AZ,12,2002
A,4 years,MORTGAGE,150000,CA,23,1996
C,< 1 year,RENT,80000,MA,17,2005
A,3 years,MORTGAGE,100000,TN,12,2003
A,10+ years,MORTGAGE,60000,PA,12,1997
C,2 years,RENT,30000,CA,16,1998
C,10+ years,RENT,40000,MN,21,1991
C,9 years,RENT,125000,AK,21,2003
C,2 years,MORTGAGE,80000,FL,26,1997
C,3 years,MORTGAGE,40000,SC,32,1997
A,2 years,OWN,40000,FL,28,1996
C,10+ years,RENT,60000,VA,22,2002
A,n/a,RENT,30000,VA,7,1995
A,10+ years,MORTGAGE,40000,WA,21,1994
C,3 years,MORTGAGE,60000,WI,15,2000
A,10+ years,MORTGAGE,100000,PA,17,1977
C,< 1 year,RENT,150000,PA,12,2003
C,3 years,OWN,40000,AL,18,2005
A,5 years,MORTGAGE,80000,CT,18,2002
C,7 years,MORTGAGE,60000,RI,12,1999
A,10+ years,OWN,40000,LA,25,1987
C,n/a,OWN,30000,TX,29,1992
C,1 year,MORTGAGE,80000,AZ,2,2004
C,10+ years,MORTGAGE,100000,CA,29,1997
A,10+ years,MORTGAGE,60000,AL,29,2006
A,1 year,RENT,30000,UT,15,2010
C,10+ years,MORTGAGE,80000,AZ,17,1989
C,2 years,RENT,150000,CA,20,2010
C,10+ years,MORTGAGE,60000,NM,22,1995
A,1 year,RENT,40000,CA,6,2007
C,10+ years,MORTGAGE,100000,CA,16,1981
C,10+ years,MORTGAGE,150000,MD,6,2000
C,3 years,MORTGAGE,100000,FL,28,1994
C,6 years,RENT,60000,CA,12,2001
C,n/a,RENT,40000,FL,23,1976
C,5 years,RENT,60000,TN,19,2000
A,8 years,RENT,30000,NY,9,2004
A,10+ years,RENT,60000,CA,19,1998
C,3 years,RENT,20000,TX,23,2014
A,n/a,MORTGAGE,30000,GA,12,1996
C,n/a,MORTGAGE,125000,PA,10,1978
A,6 years,RENT,40000,CA,12,2002
C,2 years,MORTGAGE,60000,PA,34,1993
C,10+ years,OWN,60000,CA,13,1991
C,7 years,MORTGAGE,60000,IN,30,2006
C,6 years,RENT,30000,MO,11,1997
C,< 1 year,RENT,100000,TX,9,2004
C,5 years,RENT,80000,TN,29,2003
C,n/a,OWN,10000,PA,135,2012
C,4 years,MORTGAGE,60000,FL,25,1997
C,2 years,RENT,60000,FL,11,2002
C,< 1 year,RENT,40000,FL,12,2006
C,n/a,RENT,40000,FL,13,2005
A,10+ years,MORTGAGE,100000,MA,16,1978
C,3 years,MORTGAGE,80000,IL,11,1997
A,n/a,RENT,20000,NY,20,1989
C,4 years,RENT,40000,VT,19,2009
C,< 1 year,RENT,20000,CO,6,1992
C,< 1 year,RENT,40000,TX,18,2010
A,10+ years,OWN,60000,TX,16,1994
A,10+ years,MORTGAGE,100000,IL,18,1984
C,6 years,RENT,125000,MD,15,2006
C,10+ years,MORTGAGE,30000,NE,20,2002
C,10+ years,MORTGAGE,30000,DE,22,1996
C,6 years,MORTGAGE,40000,IN,6,2007
A,4 years,RENT,30000,NY,15,2005
C,8 years,OWN,40000,AL,29,2005
C,n/a,OWN,20000,OR,6,2013
C,6 years,MORTGAGE,150000,MD,11,2000
C,2 years,RENT,30000,NE,4,2013
C,4 years,MORTGAGE,30000,IL,23,1995
C,9 years,MORTGAGE,40000,VA,29,2005
C,2 years,MORTGAGE,150000,NC,14,1989
C,5 years,RENT,125000,MS,22,1993
C,7 years,MORTGAGE,40000,TN,28,1985
C,< 1 year,MORTGAGE,10000,OH,92,1982
A,< 1 year,RENT,60000,CA,10,1989
C,10+ years,MORTGAGE,125000,OH,17,2001
A,7 years,MORTGAGE,100000,CA,14,2005
A,5 years,OWN,20000,VA,29,2007
A,10+ years,MORTGAGE,150000,FL,15,1996
C,2 years,MORTGAGE,60000,AZ,11,1991
A,10+ years,MORTGAGE,80000,MI,15,2002
C,n/a,RENT,60000,AZ,49,1988
A,10+ years,MORTGAGE,60000,KY,23,1991
A,8 years,MORTGAGE,40000,FL,11,2006
C,10+ years,MORTGAGE,80000,WI,22,1999
C,3 years,RENT,60000,NY,8,2005
A,10+ years,MORTGAGE,60000,NY,17,2001
C,10+ years,MORTGAGE,80000,VA,23,2003
A,< 1 year,MORTGAGE,20000,MA,12,1999
C,10+ years,MORTGAGE,40000,OR,19,1993
C,1 year,MORTGAGE,80000,ME,15,2003
C,3 years,RENT,60000,CT,31,1982
A,10+ years,MORTGAGE,60000,NE,18,1995
C,9 years,MORTGAGE,40000,CA,22,2003
C,10+ years,RENT,40000,MO,8,2004
C,2 years,RENT,60000,CA,20,2010
C,2 years,RENT,80000,MD,35,2001
A,3 years,RENT,40000,PA,18,2005
A,2 years,MORTGAGE,40000,FL,20,2004
C,< 1 year,RENT,20000,NJ,30,2004
A,< 1 year,RENT,125000,MA,13,2008
A,10+ years,MORTGAGE,40000,NC,6,1990
A,4 years,MORTGAGE,60000,GA,25,2004
A,1 year,RENT,20000,CO,8,2001
A,10+ years,MORTGAGE,80000,OH,24,2003
C,< 1 year,RENT,40000,CO,11,2005
A,5 years,MORTGAGE,100000,NY,14,1989
C,2 years,RENT,20000,TX,20,2013
A,10+ years,MORTGAGE,40000,NV,21,1999
C,5 years,RENT,40000,NY,3,2008
C,3 years,RENT,60000,CA,13,1991
C,8 years,RENT,80000,CT,17,2003
C,2 years,MORTGAGE,40000,CA,11,2006
A,n/a,OWN,20000,ND,29,2005
C,2 years,MORTGAGE,100000,CA,13,1994
A,10+ years,MORTGAGE,60000,TX,27,1990
C,5 years,MORTGAGE,60000,CA,25,1997
C,< 1 year,MORTGAGE,40000,MO,21,2004
C,10+ years,RENT,40000,NJ,9,2004
C,1 year,MORTGAGE,125000,FL,9,1989
C,10+ years,OWN,80000,AK,12,1993
C,2 years,MORTGAGE,100000,TX,6,2000
C,2 years,MORTGAGE,125000,MO,27,2007
C,3 years,RENT,20000,IL,12,2007
C,6 years,RENT,60000,CA,19,2002
A,10+ years,MORTGAGE,60000,OH,22,2001
C,10+ years,OWN,100000,WI,6,2006
C,10+ years,MORTGAGE,80000,FL,12,2004
A,< 1 year,MORTGAGE,80000,GA,9,2002
C,10+ years,RENT,40000,OH,27,2005
C,1 year,MORTGAGE,100000,MO,21,2006
A,10+ years,MORTGAGE,80000,IL,29,1990
C,10+ years,OWN,40000,FL,26,2001
C,10+ years,OWN,150000,NY,18,2005
C,1 year,RENT,30000,FL,17,2011
C,1 year,RENT,60000,CA,11,2009
C,10+ years,OWN,40000,CA,29,2006
A,< 1 year,MORTGAGE,80000,MN,19,1995
C,4 years,MORTGAGE,80000,MI,31,2002
C,2 years,RENT,40000,IL,12,2008
C,< 1 year,RENT,60000,NJ,29,2006
A,10+ years,MORTGAGE,100000,UT,21,1986
C,4 years,MORTGAGE,40000,VA,15,2006
A,4 years,RENT,20000,NY,19,1992
A,10+ years,MORTGAGE,150000,CA,15,1990
C,10+ years,MORTGAGE,40000,TX,13,2004
C,3 years,MORTGAGE,150000,CT,8,1992
C,10+ years,OWN,100000,MS,25,1996
C,< 1 year,RENT,60000,MA,8,2003
C,10+ years,MORTGAGE,150000,MD,25,1994
A,10+ years,MORTGAGE,80000,CO,16,2003
C,< 1 year,RENT,80000,CA,33,2005
C,3 years,MORTGAGE,150000,MI,16,1996
A,8 years,MORTGAGE,60000,OK,17,2006
C,10+ years,MORTGAGE,30000,MN,20,1995
A,n/a,MORTGAGE,60000,GA,17,1985
C,n/a,MORTGAGE,40000,VA,34,1983
A,6 years,OWN,60000,NC,34,1993
C,10+ years,OWN,60000,UT,12,2006
A,9 years,OWN,60000,CA,15,2007
C,6 years,RENT,20000,NH,30,2004
C,6 years,RENT,60000,WI,23,2008
A,3 years,RENT,80000,CA,21,2004
C,10+ years,OWN,60000,NH,22,2011
C,7 years,MORTGAGE,100000,MD,28,2004
A,6 years,MORTGAGE,60000,IN,21,1996
C,10+ years,MORTGAGE,60000,VA,15,2002
A,10+ years,MORTGAGE,60000,CA,9,2007
A,< 1 year,RENT,60000,NY,20,1990
A,10+ years,OWN,125000,NJ,11,1987
A,10+ years,RENT,125000,CA,23,1997
C,3 years,MORTGAGE,30000,OH,52,2006
A,4 years,MORTGAGE,100000,CA,15,2003
A,6 years,MORTGAGE,60000,NY,9,1996
C,5 years,RENT,30000,TX,25,2003
C,10+ years,MORTGAGE,40000,MD,18,2002
C,2 years,RENT,60000,WI,16,2001
C,10+ years,MORTGAGE,60000,AZ,21,2000
C,4 years,MORTGAGE,100000,MA,3,2003
A,10+ years,RENT,40000,CO,19,2004
C,5 years,MORTGAGE,100000,NY,34,1998
C,4 years,RENT,125000,NC,23,2000
C,10+ years,OWN,80000,IN,20,2005
A,10+ years,MORTGAGE,125000,CA,17,1995
C,1 year,RENT,40000,NJ,7,2011
C,2 years,RENT,40000,MA,4,2009
A,10+ years,OWN,60000,NJ,11,2005
A,< 1 year,MORTGAGE,40000,WI,19,2012
C,3 years,MORTGAGE,80000,KY,19,2001
C,1 year,MORTGAGE,150000,TX,21,1987
C,< 1 year,MORTGAGE,20000,NC,78,1989
C,5 years,MORTGAGE,60000,GA,20,1994
C,5 years,RENT,80000,FL,16,2000
C,< 1 year,RENT,30000,TX,21,2008
C,2 years,OWN,40000,PA,9,2005
A,4 years,RENT,100000,CA,15,1998
C,2 years,MORTGAGE,60000,LA,29,2001
C,10+ years,MORTGAGE,125000,CT,32,1984
A,10+ years,MORTGAGE,100000,TX,8,2001
A,2 years,MORTGAGE,125000,IL,27,1989
C,10+ years,RENT,100000,CO,15,1997
A,2 years,MORTGAGE,80000,NV,18,2005
C,10+ years,MORTGAGE,80000,NY,25,1996
C,10+ years,MORTGAGE,100000,NJ,26,1993
C,10+ years,RENT,30000,CA,31,1987
C,1 year,OWN,80000,MA,14,1992
A,3 years,MORTGAGE,125000,FL,14,2007
A,< 1 year,RENT,40000,WA,20,1997
C,< 1 year,RENT,60000,VA,29,2000
C,10+ years,MORTGAGE,20000,FL,25,1988
C,10+ years,MORTGAGE,60000,NY,14,2006
C,2 years,MORTGAGE,40000,MA,16,2013
C,10+ years,MORTGAGE,60000,AZ,3,2004
C,1 year,RENT,20000,WI,18,2001
C,3 years,MORTGAGE,40000,TX,31,2005
A,4 years,MORTGAGE,150000,WA,15,2005
A,10+ years,MORTGAGE,150000,IL,5,1999
C,2 years,RENT,30000,NE,19,2010
C,4 years,MORTGAGE,40000,FL,32,2000
A,10+ years,RENT,125000,NY,2,1998
C,< 1 year,RENT,40000,WA,31,2006
C,10+ years,RENT,80000,CA,29,1998
C,< 1 year,RENT,20000,GA,20,2012
C,< 1 year,RENT,40000,CA,26,2002
C,2 years,MORTGAGE,40000,NY,12,2005
A,10+ years,MORTGAGE,40000,TX,27,2002
A,10+ years,MORTGAGE,60000,OH,9,1990
A,3 years,MORTGAGE,60000,GA,17,2006
A,10+ years,MORTGAGE,60000,MN,23,2001
C,10+ years,RENT,60000,VA,25,2004
C,2 years,MORTGAGE,80000,FL,26,2006
A,n/a,MORTGAGE,60000,FL,25,1984
C,9 years,OWN,125000,VA,28,1986
A,10+ years,MORTGAGE,40000,PA,11,2002
C,10+ years,RENT,125000,OK,5,1996
A,6 years,MORTGAGE,100000,TX,14,1995
A,2 years,MORTGAGE,60000,VA,35,2001
C,n/a,MORTGAGE,60000,CA,25,2001
C,10+ years,RENT,40000,KY,18,2007
A,1 year,RENT,40000,OK,13,2012
A,3 years,MORTGAGE,125000,CA,19,1984
A,5 years,MORTGAGE,150000,IL,7,2004
A,< 1 year,RENT,100000,NC,20,2003
C,10+ years,RENT,40000,PA,10,2013
C,7 years,OWN,30000,TX,27,2007
A,1 year,MORTGAGE,20000,GA,17,2004
C,10+ years,MORTGAGE,80000,FL,11,1997
C,9 years,OWN,60000,CA,20,1988
C,9 years,RENT,60000,CA,12,2003
C,8 years,MORTGAGE,60000,TX,25,2006
C,5 years,MORTGAGE,100000,NY,6,2005
C,10+ years,MORTGAGE,60000,NY,25,2001
C,10+ years,RENT,125000,MA,27,1987
A,3 years,RENT,15000,NY,6,2010
A,8 years,MORTGAGE,60000,NY,28,1998
C,5 years,MORTGAGE,40000,MA,13,1994
C,5 years,MORTGAGE,150000,VA,21,1997
A,10+ years,MORTGAGE,150000,AL,15,1997
C,10+ years,RENT,100000,NY,13,2002
C,< 1 year,RENT,60000,NY,12,2008
A,10+ years,OWN,40000,TN,26,1994
C,10+ years,MORTGAGE,40000,KY,24,2002
C,7 years,RENT,40000,CA,20,2011
A,3 years,MORTGAGE,60000,NY,23,1997
C,5 years,MORTGAGE,40000,OH,17,2008
C,n/a,MORTGAGE,40000,CA,19,1978
C,10+ years,MORTGAGE,100000,TX,28,1995
C,5 years,MORTGAGE,100000,CT,24,1994
C,4 years,RENT,125000,IL,6,2006
C,10+ years,MORTGAGE,60000,KS,18,2009
C,10+ years,RENT,60000,NY,32,2001
C,10+ years,MORTGAGE,125000,GA,20,1995
C,10+ years,MORTGAGE,40000,FL,28,2006
C,< 1 year,MORTGAGE,10000,RI,54,2014
C,2 years,MORTGAGE,100000,TX,7,2000
C,10+ years,RENT,80000,CA,18,1994
C,< 1 year,RENT,80000,MI,8,2003
A,3 years,MORTGAGE,100000,MO,11,2007
C,4 years,MORTGAGE,40000,WY,29,2004
C,1 year,MORTGAGE,150000,CO,10,1995
C,10+ years,MORTGAGE,80000,CO,32,1997
C,10+ years,RENT,60000,MD,25,2001
C,10+ years,MORTGAGE,80000,AL,12,2002
C,7 years,MORTGAGE,100000,IL,25,1995
C,10+ years,MORTGAGE,60000,TX,25,1986
A,10+ years,MORTGAGE,100000,CA,7,1991
A,1 year,RENT,60000,CA,19,2003
C,3 years,MORTGAGE,100000,TX,20,2002
C,1 year,RENT,60000,NY,6,2005
C,1 year,MORTGAGE,150000,TX,19,2001
C,10+ years,RENT,80000,FL,14,2007
A,10+ years,MORTGAGE,60000,MD,18,2004
C,n/a,MORTGAGE,60000,WA,34,1993
C,4 years,MORTGAGE,10000,GA,41,2007
C,10+ years,RENT,40000,CA,21,2005
A,1 year,MORTGAGE,80000,TX,16,2000
C,10+ years,MORTGAGE,100000,TX,31,1984
A,< 1 year,MORTGAGE,60000,IL,34,2001
C,10+ years,RENT,30000,CA,26,2001
C,10+ years,RENT,40000,LA,39,2001
C,2 years,MORTGAGE,40000,OH,23,1999
C,10+ years,MORTGAGE,80000,AL,24,1997
C,8 years,RENT,100000,NY,18,1999
C,7 years,RENT,80000,NJ,14,2001
A,7 years,RENT,150000,OR,7,2004
A,10+ years,RENT,60000,MA,29,2005
C,3 years,RENT,40000,MD,28,2010
C,1 year,RENT,60000,CA,0,2013
C,10+ years,OWN,30000,TN,5,2003
C,10+ years,MORTGAGE,80000,MA,9,1989
C,10+ years,MORTGAGE,80000,CA,33,2001
C,10+ years,MORTGAGE,30000,GA,40,1995
A,3 years,RENT,40000,AZ,25,1992
C,10+ years,MORTGAGE,60000,FL,29,2002
C,1 year,MORTGAGE,60000,TX,15,2003
A,6 years,RENT,40000,NV,28,2001
C,4 years,MORTGAGE,100000,IL,16,2000
C,3 years,RENT,40000,MI,27,2007
A,3 years,MORTGAGE,40000,FL,20,2007
C,3 years,RENT,60000,AZ,29,2006
A,10+ years,OWN,100000,OH,18,1995
A,10+ years,MORTGAGE,125000,OR,15,1998
C,2 years,OWN,40000,CA,16,1983
C,7 years,RENT,150000,VA,3,2013
C,10+ years,MORTGAGE,80000,CA,13,1995
C,10+ years,MORTGAGE,40000,MA,25,1990
C,2 years,RENT,20000,MN,26,2006
C,10+ years,MORTGAGE,80000,NC,18,2001
A,10+ years,MORTGAGE,100000,WA,14,1990
C,< 1 year,MORTGAGE,80000,NY,16,1997
C,4 years,MORTGAGE,100000,GA,24,1996
C,2 years,MORTGAGE,60000,NY,4,1997
A,10+ years,MORTGAGE,60000,IN,17,1994
C,7 years,MORTGAGE,80000,NY,35,1989
C,10+ years,MORTGAGE,40000,OH,68,1995
C,2 years,MORTGAGE,150000,WI,16,2005
A,3 years,RENT,30000,CA,18,2003
C,2 years,RENT,40000,GA,11,2013
C,5 years,OWN,125000,NJ,10,2008
C,n/a,OWN,30000,MS,33,1985
A,10+ years,MORTGAGE,150000,NV,4,1997
A,9 years,MORTGAGE,100000,MA,2,2000
C,10+ years,RENT,60000,TX,25,2000
C,< 1 year,MORTGAGE,15000,OR,19,2007
C,< 1 year,MORTGAGE,20000,WI,11,2003
C,< 1 year,MORTGAGE,10000,LA,82,2007
C,< 1 year,MORTGAGE,40000,AZ,18,2004
A,3 years,MORTGAGE,60000,VA,11,2006
C,10+ years,RENT,30000,MI,17,2008
A,n/a,MORTGAGE,80000,NV,13,2007
C,10+ years,MORTGAGE,100000,MD,14,1990
A,1 year,RENT,60000,OK,21,1995
C,10+ years,MORTGAGE,80000,MA,25,1998
A,4 years,RENT,60000,AK,26,2007
A,10+ years,MORTGAGE,40000,NC,29,2002
C,10+ years,MORTGAGE,60000,NV,15,1999
A,7 years,MORTGAGE,60000,CT,14,2002
C,10+ years,MORTGAGE,60000,TX,11,2004
C,10+ years,OWN,150000,PA,18,1997
C,3 years,RENT,30000,VA,14,2013
C,10+ years,MORTGAGE,80000,AR,28,2002
C,2 years,MORTGAGE,100000,SC,25,2005
C,7 years,MORTGAGE,60000,MA,18,2008
C,9 years,MORTGAGE,100000,CA,24,1999
C,4 years,MORTGAGE,20000,ID,25,1988
A,3 years,MORTGAGE,60000,CT,8,2007
C,7 years,MORTGAGE,40000,TX,42,2010
C,3 years,OWN,30000,VA,30,2005
A,10+ years,MORTGAGE,80000,AZ,7,2000
A,2 years,MORTGAGE,60000,LA,3,1982
A,10+ years,MORTGAGE,100000,MA,24,2000
C,4 years,MORTGAGE,150000,GA,3,1999
C,7 years,MORTGAGE,150000,NJ,6,2004
C,10+ years,MORTGAGE,100000,MI,17,1989
C,3 years,RENT,60000,IL,25,2005
C,5 years,RENT,20000,CA,19,2010
A,1 year,RENT,40000,TX,25,2000
A,3 years,MORTGAGE,150000,WA,8,1998
C,10+ years,MORTGAGE,40000,MO,27,2001
C,5 years,MORTGAGE,40000,MD,22,1990
C,5 years,OWN,30000,SC,29,1977
C,5 years,RENT,20000,AZ,19,2006
A,7 years,MORTGAGE,40000,TX,11,2003
C,5 years,RENT,40000,MS,9,2005
C,10+ years,RENT,40000,PA,5,1994
C,4 years,RENT,125000,NY,6,2013
C,< 1 year,RENT,20000,MD,28,2013
C,< 1 year,MORTGAGE,150000,TX,26,1999
C,7 years,MORTGAGE,40000,NJ,20,1999
A,10+ years,RENT,80000,FL,17,2002
A,8 years,MORTGAGE,150000,PA,14,1996
C,7 years,RENT,40000,MS,24,2005
A,6 years,MORTGAGE,60000,TX,16,2002
A,n/a,MORTGAGE,20000,NY,17,1986
A,1 year,OWN,150000,PA,12,1997
C,10+ years,MORTGAGE,40000,NV,22,1995
A,10+ years,MORTGAGE,40000,CA,24,1992
C,3 years,OWN,60000,GA,12,1995
